accession	type	gene	product	parts
NC_088052.1	CDS	ND1	NADH dehydrogenase subunit 1	9098-10148:1
NC_088052.1	CDS	ND3	NADH dehydrogenase subunit 3	10285-10642:1
NC_088052.1	tRNA		tRNA-Trp	11985-12055:1
NC_088052.1	CDS	ND2	NADH dehydrogenase subunit 2	12174-13692:1
NC_088052.1	rRNA		12S ribosomal RNA	13921-15070:1
NC_088052.1	CDS	CYTB	cytochrome b	15175-16318:1
NC_088052.1	tRNA		tRNA-Met	16394-16465:1
NC_088052.1	rRNA		16S ribosomal RNA	16569-19232:1
NC_088052.1	CDS	COX3	cytochrome c oxidase subunit III	19399-20188:1
NC_086801.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2256-2973:1
NC_086801.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3035-3335:1
NC_086801.1	CDS	ATP8	ATP synthase F0 subunit 8	3455-3674:1
NC_086801.1	CDS	ATP6	ATP synthase F0 subunit 6	3834-4563:1
NC_086801.1	rRNA		small subunit ribosomal RNA	4695-5891:1
NC_086801.1	CDS	ND2	NADH dehydrogenase subunit 2	6336-7482:1
NC_086801.1	tRNA		tRNA-Met	7645-7716:1
NC_086801.1	rRNA		large subunit ribosomal RNA	7762-10474:1
NC_086801.1	CDS	ND5	NADH dehydrogenase subunit 5	10827-11544:1,13711-14803:1
NC_086801.1	CDS	ND1	NADH dehydrogenase subunit 1	11965-12955:1
NC_086801.1	CDS	ND3	NADH dehydrogenase subunit 3	13165-13522:1
NC_086801.1	tRNA		tRNA-Trp	14836-14906:1
NC_086801.1	CDS	COX2	cytochrome c oxidase subunit II	14975-15728:1
NC_086801.1	CDS	ND4	NADH dehydrogenase subunit 4	16066-17542:1
NC_086801.1	CDS	ND6	NADH dehydrogenase subunit 6	17726-18383:1
NC_086801.1	CDS	CYTB	cytochrome b	18601-19795:1
NC_086801.1	CDS	COX3	cytochrome c oxidase subunit III	19987-20776:1
NC_083272.1	CDS	ND5	NADH dehydrogenase subunit 5	10178-10895:1,4486-5605:1
NC_083272.1	rRNA	rrn12	12S ribosomal RNA	110-1092:1
NC_083272.1	CDS	COX3	cytochrome c oxidase subunit III	2085-2874:1
NC_083272.1	CDS	COX2	cytochrome c oxidase subunit II	2930-3674:1
NC_083272.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3705-4005:1
NC_083272.1	CDS	ND3	NADH dehydrogenase subunit 3	4037-4394:1
NC_083272.1	tRNA	trnW(uca)	tRNA-Trp	5635-5706:1
NC_083272.1	CDS	ATP8	ATP synthase F0 subunit 8	5737-5956:1
NC_083272.1	CDS	COX1	cytochrome c oxidase subunit I	5937-7539:1
NC_083272.1	tRNA	trnM(cau)	tRNA-Met	7745-7816:1
NC_083272.1	rRNA	rrn16	16S ribosomal RNA	7990-9997:1
NC_083272.1	CDS	ND1	NADH dehydrogenase subunit 1	11221-12205:1
NC_083272.1	CDS	CYTB	cytochrome b	12315-13473:1
NC_083272.1	CDS	ND2	NADH dehydrogenase subunit 2	13998-15096:1
NC_083272.1	CDS	ND6	NADH dehydrogenase subunit 6	15128-15722:1
NC_083272.1	CDS	ATP6	ATP synthase F0 subunit 6	15790-16489:1
NC_083272.1	CDS	ND4	NADH dehydrogenase subunit 4	16640-18116:1
NC_082918.1	tRNA	trnM	tRNA-Met	0-71:1
NC_082918.1	rRNA	rrn16	16S ribosomal RNA	71-2379:1
NC_082918.1	CDS	ND5	NADH dehydrogenase subunit 5	2457-3177:1,14909-16025:1
NC_082918.1	tRNA	trnL	tRNA-Leu	3393-3462:1
NC_082918.1	CDS	ND1	NADH dehydrogenase subunit 1	3559-4543:1
NC_082918.1	CDS	CYTB	cytochrome b	4641-5805:1
NC_082918.1	CDS	ND2	NADH dehydrogenase subunit 2	6338-7436:1
NC_082918.1	CDS	ND6	NADH dehydrogenase subunit 6	7468-8062:1
NC_082918.1	CDS	ATP6	ATP synthase F0 subunit 6	8138-8837:1
NC_082918.1	CDS	ND4	NADH dehydrogenase subunit 4	9097-10573:1
NC_082918.1	rRNA	rrn12	12S ribosomal RNA	10625-11811:1
NC_082918.1	tRNA	trnG	tRNA-Gly	11930-11989:1
NC_082918.1	CDS	COX3	cytochrome c oxidase subunit III	12564-13353:1
NC_082918.1	CDS	COX2	cytochrome c oxidase subunit II	13371-14115:1
NC_082918.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14114-14414:1
NC_082918.1	CDS	ND3	NADH dehydrogenase subunit 3	14430-14787:1
NC_082918.1	tRNA	trnW	tRNA-Trp	16037-16107:1
NC_082918.1	CDS	ATP8	ATP synthase F0 subunit 8	16138-16357:1
NC_082918.1	CDS	COX1	cytochrome c oxidase subunit I	16338-17913:1
NC_082917.1	tRNA	trnM	tRNA-Met	0-71:1
NC_082917.1	rRNA	rrn16	16S ribosomal RNA	71-2379:1
NC_082917.1	CDS	ND5	NADH dehydrogenase subunit 5	2457-3177:1,14909-16025:1
NC_082917.1	tRNA	trnL	tRNA-Leu	3393-3462:1
NC_082917.1	CDS	ND1	NADH dehydrogenase subunit 1	3559-4543:1
NC_082917.1	CDS	CYTB	cytochrome b	4641-5805:1
NC_082917.1	CDS	ND2	NADH dehydrogenase subunit 2	6338-7436:1
NC_082917.1	CDS	ND6	NADH dehydrogenase subunit 6	7468-8062:1
NC_082917.1	CDS	ATP6	ATP synthase F0 subunit 6	8138-8837:1
NC_082917.1	CDS	ND4	NADH dehydrogenase subunit 4	9097-10573:1
NC_082917.1	rRNA	rrn12	12S ribosomal RNA	10625-11811:1
NC_082917.1	tRNA	trnG	tRNA-Gly	11930-11989:1
NC_082917.1	CDS	COX3	cytochrome c oxidase subunit III	12564-13353:1
NC_082917.1	CDS	COX2	cytochrome c oxidase subunit II	13371-14115:1
NC_082917.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14114-14414:1
NC_082917.1	CDS	ND3	NADH dehydrogenase subunit 3	14430-14787:1
NC_082917.1	tRNA	trnW	tRNA-Trp	16037-16107:1
NC_082917.1	CDS	ATP8	ATP synthase F0 subunit 8	16138-16357:1
NC_082917.1	CDS	COX1	cytochrome c oxidase subunit I	16338-17913:1
NC_082284.1	CDS	COX1	cytochrome c oxidase subunit I	0-1594:1
NC_082284.1	rRNA	12S-rRNA	12S ribosomal RNA	1594-2680:1
NC_082284.1	CDS	ND1	NADH dehydrogenase subunit 1	2680-3661:1
NC_082284.1	CDS	CYTB	cytochrome b	3749-4910:1
NC_082284.1	CDS	ND6	NADH dehydrogenase subunit 6	4942-5494:1
NC_082284.1	CDS	ND3	NADH dehydrogenase subunit 3	5539-5893:1
NC_082284.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5925-6219:1
NC_082284.1	CDS	mutS	DNA mismatch repair protein MutS	6235-9199:1
NC_082284.1	rRNA	16S-rRNA	16S ribosomal RNA	9199-11254:1
NC_082284.1	CDS	ND2	NADH dehydrogenase subunit 2	11254-12586:1
NC_082284.1	CDS	ND5	NADH dehydrogenase subunit 5	12573-14391:1
NC_082284.1	CDS	ND4	NADH dehydrogenase subunit 4	14434-15883:1
NC_082284.1	tRNA	trnM(CAT)	tRNA-Met	16143-16214:-1
NC_082284.1	CDS	COX3	cytochrome c oxidase subunit III	16265-17051:-1
NC_082284.1	CDS	ATP6	ATP synthase F0 subunit 6	17099-17807:-1
NC_082284.1	CDS	ATP8	ATP synthase F0 subunit 8	17827-18043:-1
NC_082284.1	CDS	COX2	cytochrome c oxidase subunit II	18064-18826:-1
NC_082114.1	CDS	COX1	cytochrome c oxidase subunit I	0-1674:1
NC_082114.1	rRNA	rrnS	12S ribosomal RNA	1685-2676:1
NC_082114.1	CDS	ND1	NADH dehydrogenase subunit 1	2715-3696:1
NC_082114.1	CDS	CYTB	cytochrome b	3826-4987:1
NC_082114.1	CDS	ND6	NADH dehydrogenase subunit 6	5007-5571:1
NC_082114.1	CDS	ND3	NADH dehydrogenase subunit 3	5614-5968:1
NC_082114.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5996-6290:1
NC_082114.1	CDS	mutS	DNA mismatch repair protein MutS	6303-9273:1
NC_082114.1	rRNA	rrnL	16S ribosomal RNA	9529-11231:1
NC_082114.1	CDS	ND2	NADH dehydrogenase subunit 2	11303-12635:1
NC_082114.1	CDS	ND5	NADH dehydrogenase subunit 5	12622-14440:1
NC_082114.1	CDS	ND4	NADH dehydrogenase subunit 4	14483-15932:1
NC_082114.1	tRNA	trnM	tRNA-Met	15994-16065:-1
NC_082114.1	CDS	COX3	cytochrome c oxidase subunit III	16109-16895:-1
NC_082114.1	CDS	ATP6	ATP synthase F0 subunit 6	16942-17650:-1
NC_082114.1	CDS	ATP8	ATP synthase F0 subunit 8	17670-17886:-1
NC_082114.1	CDS	COX2	cytochrome c oxidase subunit II	17908-18670:-1
NC_082103.1	CDS	ND5	NADH dehydrogenase subunit 5	8565-9285:1,7159-8278:1
NC_082103.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,1858-2671:1
NC_082103.1	tRNA	trnM(cau)	tRNA-Met	2650-2721:1
NC_082103.1	rRNA		16S ribosomal RNA	2724-5470:1
NC_082103.1	CDS	COX2	cytochrome c oxidase subunit II	5591-6335:1
NC_082103.1	CDS	ND4L	NADH dehydrogenase subunit 4L	6388-6688:1
NC_082103.1	CDS	ND3	NADH dehydrogenase subunit 3	6704-7061:1
NC_082103.1	CDS	ND1	NADH dehydrogenase subunit 1	9617-10601:1
NC_082103.1	CDS	CYTB	cytochrome b	10703-12020:1
NC_082103.1	CDS	ND2	NADH dehydrogenase subunit 2	12361-13456:1
NC_082103.1	CDS	ND6	NADH dehydrogenase subunit 6	13470-14082:1
NC_082103.1	CDS	ATP6	ATP synthase F0 subunit 6	14147-14846:1
NC_082103.1	CDS	ND4	NADH dehydrogenase subunit 4	15059-16535:1
NC_082103.1	rRNA	rrn12	12S ribosomal RNA	16539-18600:1
NC_082103.1	CDS	COX3	cytochrome c oxidase subunit III	18651-19440:1
NC_082103.1	tRNA	trnW(uca)	tRNA-Trp	19490-19567:1
NC_082103.1	CDS	ATP8	ATP synthase F0 subunit 8	19599-19830:1
NC_081603.1	rRNA	rnl	large subunit ribosomal RNA	9-1944:1
NC_081603.1	CDS	ND2	NADH dehydrogenase subunit 2	1970-3317:1
NC_081603.1	CDS	ND5	NADH dehydrogenase subunit 5	3304-5122:1
NC_081603.1	CDS	ND4	NADH dehydrogenase subunit 4	5145-6594:1
NC_081603.1	tRNA	trnM(cau)	tRNA-Met	6645-6716:-1
NC_081603.1	CDS	COX3	cytochrome c oxidase subunit III	6755-7541:-1
NC_081603.1	CDS	ATP6	ATP synthase F0 subunit 6	7605-8313:-1
NC_081603.1	CDS	ATP8	ATP synthase F0 subunit 8	8337-8589:-1
NC_081603.1	CDS	COX2	cytochrome c oxidase subunit II	8575-9337:-1
NC_081603.1	CDS	COX1	cytochrome c oxidase subunit I	9449-11159:1
NC_081603.1	rRNA	rns	small subunit ribosomal RNA	11039-12065:1
NC_081603.1	CDS	ND1	NADH dehydrogenase subunit 1	12115-13087:1
NC_081603.1	CDS	CYTB	cytochrome b	13138-14281:1
NC_081603.1	CDS	ND6	NADH dehydrogenase subunit 6	14297-14855:1
NC_081603.1	CDS	ND3	NADH dehydrogenase subunit 3	14898-15252:1
NC_081603.1	CDS	ND4L	NADH dehydrogenase subunit 4L	15255-15549:1
NC_081603.1	CDS	mutS	MutS-like protein	15562-18511:1
NC_080261.1	CDS	ND5	NADH dehydrogenase subunit 5	20611-21242:1,0-101:1,2277-3408:1
NC_080261.1	CDS	ND1	NADH dehydrogenase subunit 1	396-1410:1
NC_080261.1	CDS	ND3	NADH dehydrogenase subunit 3	1657-2014:1
NC_080261.1	tRNA	trnW	tRNA-Trp	3549-3619:1
NC_080261.1	CDS	COX2	cytochrome c oxidase subunit II	3988-4741:1
NC_080261.1	CDS	ND4	NADH dehydrogenase subunit 4	5163-6639:1
NC_080261.1	CDS	ND6	NADH dehydrogenase subunit 6	6641-7292:1
NC_080261.1	CDS	CYTB	cytochrome b	7398-8586:1
NC_080261.1	CDS	COX3	cytochrome c oxidase subunit III	8849-9638:1
NC_080261.1	CDS	COX1	cytochrome c oxidase subunit I	9754-10642:1,11955-12666:1
NC_080261.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12803-13103:1
NC_080261.1	CDS	ATP8	ATP synthase F0 subunit 8	13148-13367:1
NC_080261.1	CDS	ATP6	ATP synthase F0 subunit 6	13620-14319:1
NC_080261.1	rRNA		small subunit ribosomal RNA	14542-15738:1
NC_080261.1	CDS	ND2	NADH dehydrogenase subunit 2	16210-17368:1
NC_080261.1	tRNA	trnM	tRNA-Met	17583-17654:1
NC_080261.1	rRNA		large subunit ribosomal RNA	17751-20392:1
NC_080260.1	CDS	ND5	NADH dehydrogenase subunit 5	21667-22399:1,1531-2662:1
NC_080260.1	CDS	ND1	NADH dehydrogenase subunit 1	22694-23035:1,0-664:1
NC_080260.1	CDS	ND3	NADH dehydrogenase subunit 3	911-1268:1
NC_080260.1	CDS	COX2	cytochrome c oxidase subunit II	5044-5797:1
NC_080260.1	CDS	ND4	NADH dehydrogenase subunit 4	6219-7695:1
NC_080260.1	CDS	ND6	NADH dehydrogenase subunit 6	7697-8348:1
NC_080260.1	CDS	CYTB	cytochrome b	8454-9642:1
NC_080260.1	CDS	COX3	cytochrome c oxidase subunit III	9905-10694:1
NC_080260.1	CDS	COX1	cytochrome c oxidase subunit I	10810-11698:1,13005-13722:1
NC_080260.1	CDS	ND4L	NADH dehydrogenase subunit 4L	13859-14159:1
NC_080260.1	CDS	ATP8	ATP synthase F0 subunit 8	14204-14423:1
NC_080260.1	CDS	ATP6	ATP synthase F0 subunit 6	14676-15375:1
NC_080260.1	rRNA		small subunit ribosomal RNA	15598-16794:1
NC_080260.1	CDS	ND2	NADH dehydrogenase subunit 2	17266-18424:1
NC_080260.1	tRNA	trnM	tRNA-Met	18639-18710:1
NC_080260.1	rRNA		large subunit ribosomal RNA	18758-21453:1
NC_080259.1	rRNA		large subunit ribosomal RNA	20775-23133:1,0-449:1
NC_080259.1	CDS	ND5	NADH dehydrogenase subunit 5	756-1473:1,4040-5171:1
NC_080259.1	CDS	ND1	NADH dehydrogenase subunit 1	2168-3158:1
NC_080259.1	CDS	ND3	NADH dehydrogenase subunit 3	3339-3696:1
NC_080259.1	CDS	COX2	cytochrome c oxidase subunit II	5731-6484:1
NC_080259.1	CDS	ND4	NADH dehydrogenase subunit 4	6977-8453:1
NC_080259.1	CDS	ND6	NADH dehydrogenase subunit 6	8678-9329:1
NC_080259.1	CDS	CYTB	cytochrome b	9551-10712:1
NC_080259.1	CDS	COX3	cytochrome c oxidase subunit III	11060-11849:1
NC_080259.1	CDS	COX1	cytochrome c oxidase subunit I	11962-12850:1,14198-14915:1
NC_080259.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14969-15269:1
NC_080259.1	CDS	ATP8	ATP synthase F0 subunit 8	15609-15828:1
NC_080259.1	CDS	ATP6	ATP synthase F0 subunit 6	16094-16793:1
NC_080259.1	rRNA		small subunit ribosomal RNA	17052-18241:1
NC_080259.1	CDS	ND2	NADH dehydrogenase subunit 2	19215-20373:1
NC_080259.1	tRNA	trnM	tRNA-Met	20566-20637:1
NC_080258.1	CDS	ND5	NADH dehydrogenase subunit 5	19835-20567:1,1306-2437:1
NC_080258.1	CDS	ND1	NADH dehydrogenase subunit 1	20866-21399:1,0-481:1
NC_080258.1	CDS	ND3	NADH dehydrogenase subunit 3	656-1013:1
NC_080258.1	tRNA	trnW	tRNA-Trp	3257-3327:1
NC_080258.1	CDS	COX2	cytochrome c oxidase subunit II	3518-4271:1
NC_080258.1	CDS	ND4	NADH dehydrogenase subunit 4	4626-6102:1
NC_080258.1	CDS	ND6	NADH dehydrogenase subunit 6	6104-6755:1
NC_080258.1	CDS	CYTB	cytochrome b	6844-8032:1
NC_080258.1	CDS	COX3	cytochrome c oxidase subunit III	8310-9099:1
NC_080258.1	CDS	COX1	cytochrome c oxidase subunit I	9176-10064:1,11342-12059:1
NC_080258.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12187-12487:1
NC_080258.1	CDS	ATP8	ATP synthase F0 subunit 8	12564-12783:1
NC_080258.1	CDS	ATP6	ATP synthase F0 subunit 6	13015-13714:1
NC_080258.1	rRNA		small subunit ribosomal RNA	13951-15145:1
NC_080258.1	CDS	ND2	NADH dehydrogenase subunit 2	15569-16730:1
NC_080258.1	tRNA	trnM	tRNA-Met	16834-16905:1
NC_080258.1	rRNA		large subunit ribosomal RNA	16920-19577:1
NC_080209.1	CDS	ND5	NADH dehydrogenase subunit 5	107-824:1,3127-4258:1
NC_080209.1	CDS	ND1	NADH dehydrogenase subunit 1	1379-2369:1
NC_080209.1	CDS	ND3	NADH dehydrogenase subunit 3	2519-2876:1
NC_080209.1	CDS	COX2	cytochrome c oxidase subunit II	4736-5489:1
NC_080209.1	CDS	ND4	NADH dehydrogenase subunit 4	5977-7453:1
NC_080209.1	CDS	ND6	NADH dehydrogenase subunit 6	7569-8220:1
NC_080209.1	CDS	CYTB	cytochrome b	8474-9635:1
NC_080209.1	CDS	COX3	cytochrome c oxidase subunit III	9982-10771:1
NC_080209.1	CDS	COX1	cytochrome c oxidase subunit I	10993-11881:1,13095-13812:1
NC_080209.1	CDS	ND4L	NADH dehydrogenase subunit 4L	13901-14201:1
NC_080209.1	CDS	ATP8	ATP synthase F0 subunit 8	14458-14677:1
NC_080209.1	CDS	ATP6	ATP synthase F0 subunit 6	14892-15591:1
NC_080209.1	rRNA		12S ribosomal RNA	15850-17041:1
NC_080209.1	CDS	ND2	NADH dehydrogenase subunit 2	18319-19477:1
NC_080209.1	tRNA	trnM	tRNA-Met	19620-19691:1
NC_080209.1	rRNA		16S ribosomal RNA	19717-22434:1
NC_080208.1	CDS	COX1	cytochrome c oxidase subunit I	0-888:1,2035-2752:1
NC_080208.1	CDS	ND4L	NADH dehydrogenase subunit 4L	2782-3082:1
NC_080208.1	CDS	ATP8	ATP synthase F0 subunit 8	3159-3378:1
NC_080208.1	CDS	ATP6	ATP synthase F0 subunit 6	3587-4286:1
NC_080208.1	rRNA		12S ribosomal RNA	4417-5626:1
NC_080208.1	CDS	ND2	NADH dehydrogenase subunit 2	6130-7288:1
NC_080208.1	tRNA	trnM	tRNA-Met	7449-7520:1
NC_080208.1	rRNA		16S ribosomal RNA	7546-10387:1
NC_080208.1	CDS	ND5	NADH dehydrogenase subunit 5	10716-11433:1,13655-14786:1
NC_080208.1	CDS	ND1	NADH dehydrogenase subunit 1	11744-12734:1
NC_080208.1	CDS	ND3	NADH dehydrogenase subunit 3	13027-13384:1
NC_080208.1	tRNA	trnW	tRNA-Trp	14828-14898:1
NC_080208.1	CDS	COX2	cytochrome c oxidase subunit II	14967-15720:1
NC_080208.1	CDS	ND4	NADH dehydrogenase subunit 4	16086-17562:1
NC_080208.1	CDS	ND6	NADH dehydrogenase subunit 6	17719-18370:1
NC_080208.1	CDS	CYTB	cytochrome b	18663-19824:1
NC_080208.1	CDS	COX3	cytochrome c oxidase subunit III	20160-20949:1
NC_080207.1	CDS	COX1	cytochrome c oxidase subunit I	1-889:1,2036-2753:1
NC_080207.1	CDS	ND4L	NADH dehydrogenase subunit 4L	2783-3083:1
NC_080207.1	CDS	ATP8	ATP synthase F0 subunit 8	3147-3366:1
NC_080207.1	CDS	ATP6	ATP synthase F0 subunit 6	3523-4222:1
NC_080207.1	rRNA		12S ribosomal RNA	4392-5601:1
NC_080207.1	CDS	ND2	NADH dehydrogenase subunit 2	6105-7263:1
NC_080207.1	tRNA	trnM	tRNA-Met	7402-7473:1
NC_080207.1	rRNA		16S ribosomal RNA	7499-10219:1
NC_080207.1	CDS	ND5	NADH dehydrogenase subunit 5	10547-11264:1,13399-14530:1
NC_080207.1	CDS	ND1	NADH dehydrogenase subunit 1	11575-12565:1
NC_080207.1	CDS	ND3	NADH dehydrogenase subunit 3	12793-13150:1
NC_080207.1	tRNA	trnW	tRNA-Trp	14570-14640:1
NC_080207.1	CDS	COX2	cytochrome c oxidase subunit II	14709-15462:1
NC_080207.1	CDS	ND4	NADH dehydrogenase subunit 4	15846-17322:1
NC_080207.1	CDS	ND6	NADH dehydrogenase subunit 6	17383-18034:1
NC_080207.1	CDS	CYTB	cytochrome b	18297-19458:1
NC_080207.1	CDS	COX3	cytochrome c oxidase subunit III	19809-20598:1
NC_080206.1	CDS	ND5	NADH dehydrogenase subunit 5	20179-20911:1,1650-2781:1
NC_080206.1	CDS	ND1	NADH dehydrogenase subunit 1	21210-21399:1,0-825:1
NC_080206.1	CDS	ND3	NADH dehydrogenase subunit 3	1000-1357:1
NC_080206.1	tRNA	trnW	tRNA-Trp	3601-3671:1
NC_080206.1	CDS	COX2	cytochrome c oxidase subunit II	3862-4615:1
NC_080206.1	CDS	ND4	NADH dehydrogenase subunit 4	4970-6446:1
NC_080206.1	CDS	ND6	NADH dehydrogenase subunit 6	6448-7099:1
NC_080206.1	CDS	CYTB	cytochrome b	7188-8376:1
NC_080206.1	CDS	COX3	cytochrome c oxidase subunit III	8654-9443:1
NC_080206.1	CDS	COX1	cytochrome c oxidase subunit I	9520-10408:1,11686-12403:1
NC_080206.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12531-12831:1
NC_080206.1	CDS	ATP8	ATP synthase F0 subunit 8	12908-13127:1
NC_080206.1	CDS	ATP6	ATP synthase F0 subunit 6	13359-14058:1
NC_080206.1	rRNA		12S ribosomal RNA	14295-15489:1
NC_080206.1	CDS	ND2	NADH dehydrogenase subunit 2	15913-17074:1
NC_080206.1	tRNA	trnM	tRNA-Met	17178-17249:1
NC_080206.1	rRNA		16S ribosomal RNA	17288-19914:1
NC_080205.1	rRNA		12S ribosomal RNA	20751-21114:1,0-834:1
NC_080205.1	CDS	ND2	NADH dehydrogenase subunit 2	1246-2407:1
NC_080205.1	tRNA	trnM	tRNA-Met	2511-2582:1
NC_080205.1	rRNA		16S ribosomal RNA	2623-5245:1
NC_080205.1	CDS	ND5	NADH dehydrogenase subunit 5	5466-6198:1,8368-9499:1
NC_080205.1	CDS	ND1	NADH dehydrogenase subunit 1	6515-7529:1
NC_080205.1	CDS	ND3	NADH dehydrogenase subunit 3	7716-8073:1
NC_080205.1	tRNA	trnW	tRNA-Trp	10180-10250:1
NC_080205.1	CDS	COX2	cytochrome c oxidase subunit II	10441-11194:1
NC_080205.1	CDS	ND4	NADH dehydrogenase subunit 4	11483-12959:1
NC_080205.1	CDS	ND6	NADH dehydrogenase subunit 6	12961-13612:1
NC_080205.1	CDS	CYTB	cytochrome b	13701-14889:1
NC_080205.1	CDS	COX3	cytochrome c oxidase subunit III	15145-15934:1
NC_080205.1	CDS	COX1	cytochrome c oxidase subunit I	16012-16900:1,18169-18886:1
NC_080205.1	CDS	ND4L	NADH dehydrogenase subunit 4L	19014-19314:1
NC_080205.1	CDS	ATP8	ATP synthase F0 subunit 8	19391-19610:1
NC_080205.1	CDS	ATP6	ATP synthase F0 subunit 6	19826-20525:1
NC_077518.1	tRNA		tRNA-Met	0-72:1
NC_077518.1	rRNA		16S ribosomal RNA	221-1918:1
NC_077518.1	CDS	ND5	NADH dehydrogenase subunit 5	1999-2710:1,13171-14275:1
NC_077518.1	CDS	ND1	NADH dehydrogenase subunit 1	2818-3766:1
NC_077518.1	CDS	CYTB	cytochrome b	3768-4908:1
NC_077518.1	CDS	ND2	NADH dehydrogenase subunit 2	5116-6220:1
NC_077518.1	CDS	ND6	NADH dehydrogenase subunit 6	6221-6782:1
NC_077518.1	CDS	ATP6	ATP synthase F0 subunit 6	6781-7459:1
NC_077518.1	CDS	ND4	NADH dehydrogenase subunit 4	7458-8898:1
NC_077518.1	rRNA		12S ribosomal RNA	9034-9944:1
NC_077518.1	CDS	COX3	cytochrome c oxidase subunit III	10067-10847:1
NC_077518.1	CDS	COX2	cytochrome c oxidase subunit II	11781-12489:1
NC_077518.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12470-12770:1
NC_077518.1	CDS	ND3	NADH dehydrogenase subunit 3	12772-13114:1
NC_077518.1	tRNA		tRNA-Trp	14273-14343:1
NC_077518.1	CDS	ATP8	ATP synthase F0 subunit 8	14346-14544:1
NC_077518.1	CDS	COX1	cytochrome c oxidase subunit I	15067-16648:1
NC_077265.1	tRNA	trnM	tRNA-Met	0-71:1
NC_077265.1	rRNA	rrn16	16S ribosomal RNA	71-2330:1
NC_077265.1	CDS	ND5	NADH dehydrogenase subunit 5	2432-3152:1,15478-16594:1
NC_077265.1	CDS	ND1	NADH dehydrogenase subunit 1	3475-4459:1
NC_077265.1	CDS	CYTB	cytochrome b	4569-5727:1
NC_077265.1	CDS	ND2	NADH dehydrogenase subunit 2	6247-7345:1
NC_077265.1	CDS	ND6	NADH dehydrogenase subunit 6	7377-7971:1
NC_077265.1	CDS	ATP6	ATP synthase F0 subunit 6	8040-8739:1
NC_077265.1	CDS	ND4	NADH dehydrogenase subunit 4	8915-10391:1
NC_077265.1	rRNA	rrn12	12S ribosomal RNA	10443-11619:1
NC_077265.1	CDS	COX3	cytochrome c oxidase subunit III	13071-13860:1
NC_077265.1	CDS	COX2	cytochrome c oxidase subunit II	13916-14660:1
NC_077265.1	CDS	ND4L	NADH dehydrogenase subunit 4L	14694-14994:1
NC_077265.1	CDS	ND3	NADH dehydrogenase subunit 3	15026-15383:1
NC_077265.1	tRNA	trnW	tRNA-Trp	16624-16694:1
NC_077265.1	CDS	ATP8	ATP synthase F0 subunit 8	16726-16945:1
NC_077265.1	CDS	COX1	cytochrome c oxidase subunit I	16926-18528:1
NC_079943.1	CDS	ND5	NADH dehydrogenase subunit 5	20562-20763:1,0-531:1,2750-3881:1
