group	accession	organism	family	length_bp	n_cds	n_rrna	source	lineage
anthozoa	NC_022830.1	Acropora digitifera	Acroporidae	18479	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022832.1	Acropora divaricata	Acroporidae	18481	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022828.1	Acropora florida	Acroporidae	18365	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022825.1	Acropora horrida	Acroporidae	18480	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022823.1	Acropora humilis	Acroporidae	18479	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022826.1	Acropora hyacinthus	Acroporidae	18566	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_072224.1	Acropora intermedia	Acroporidae	18482	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	PQ845999.1	Acropora lutkeni	Acroporidae	18480	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	PX130728.1	Acropora microclados	Acroporidae	18567	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_072225.1	Acropora microphthalma	Acroporidae	18480	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022824.1	Acropora muricata	Acroporidae	18481	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022831.1	Acropora nasuta	Acroporidae	18481	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW246544.1	Acropora palmata	Acroporidae	18259	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW246535.1	Acropora prolifera	Acroporidae	18259	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022833.1	Acropora robusta	Acroporidae	18480	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW773216.1	Acropora sp. A aff. tenuis AC-2021	Acroporidae	18334	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW773217.1	Acropora sp. B aff. cytherea AC-2021	Acroporidae	18353	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW773218.1	Acropora sp. C aff. orbicularis AC-2021	Acroporidae	18584	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	MW773219.1	Acropora sp. D AC-2021	Acroporidae	18471	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	LC792538.1	Acropora tenella	Acroporidae	18252	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_003522.1	Acropora tenuis	Acroporidae	18338	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_042742.1	Acropora valida	Acroporidae	18385	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_022829.1	Acropora yongei	Acroporidae	18342	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Acropora
anthozoa	NC_006898.1	Anacropora matthai	Acroporidae	17888	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Anacropora
anthozoa	NC_024090.1	Astreopora explanata	Acroporidae	18106	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Astreopora
anthozoa	NC_024092.1	Astreopora myriophthalma	Acroporidae	18106	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Astreopora
anthozoa	NC_077265.1	Isopora brueggemanni	Acroporidae	18734	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Isopora
anthozoa	NC_024091.1	Isopora palifera	Acroporidae	18725	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Isopora
anthozoa	NC_024089.1	Isopora togianensis	Acroporidae	18637	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Isopora
anthozoa	NC_037359.1	Montipora aequituberculata	Acroporidae	17886	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Montipora
anthozoa	NC_006902.1	Montipora cactus	Acroporidae	17887	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Montipora
anthozoa	NC_040137.1	Montipora efflorescens	Acroporidae	17886	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Montipora
anthozoa	PZ785798.1	Montipora mollis	Acroporidae	17884	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Montipora
anthozoa	NC_072168.1	Montipora vietnamensis	Acroporidae	17885	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Acroporidae;Montipora
anthozoa	NC_061991.1	Acrossota amboinensis	Acrossotidae	19565	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Acrossotidae;Acrossota
anthozoa	BK069892.1	Actinernus sp. WN-2022	Actinernidae	15969	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Endocoelantheae;Actinernidae;Actinernus
anthozoa	NC_039929.1	Actinia equina	Actiniidae	20690	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Actinia
anthozoa	BK069890.1	Actinia mediterranea	Actiniidae	20691	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Actinia
anthozoa	NC_044902.1	Actinia tenebrosa	Actiniidae	20691	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Actinia
anthozoa	PV232310.1	Actinostella flosculifera	Actiniidae	19504	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Actinostella
anthozoa	NC_037178.1	Anemonia manjano	Actiniidae	19545	15	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anemonia
anthozoa	NC_037177.1	Anemonia viridis	Actiniidae	20108	15	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anemonia
anthozoa	NC_030274.1	Anthopleura anjunae	Actiniidae	20039	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anthopleura
anthozoa	BK069895.1	Anthopleura artemisia	Actiniidae	20039	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anthopleura
anthozoa	BK068675.1	Anthopleura sola	Actiniidae	20144	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anthopleura
anthozoa	NC_066051.1	Anthopleura xanthogrammica	Actiniidae	18511	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Anthopleura
anthozoa	KU507297.1	Bolocera sp. BZ-2016	Actiniidae	19463	16	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Bolocera
anthozoa	NC_022470.1	Bolocera tuediae	Actiniidae	19143	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Bolocera
anthozoa	BK069896.1	Bunodosoma granuliferum	Actiniidae	20909	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Bunodosoma
anthozoa	BK071242.1	Condylactis gigantea	Actiniidae	20487	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Condylactis
anthozoa	OP055895.1	Entacmaea quadricolor	Actiniidae	20459	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Entacmaea
anthozoa	KR051006.1	Isosicyonis striata	Actiniidae	19001	16	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Isosicyonis
anthozoa	PQ726619.1	Paracondylactis hertwigi	Actiniidae	19880	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Paracondylactis
anthozoa	NC_071915.1	Paracondylactis sinensis	Actiniidae	20786	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Paracondylactis
anthozoa	BK068676.1	Urticina crassicornis	Actiniidae	20586	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actiniidae;Urticina
anthozoa	BK069891.1	Actinodendron alcyonoideum	Actinodendridae	18757	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Nynantheae;Actinodendridae;Actinodendron
anthozoa	BK069893.1	Actinodendron arboreum	Actinodendridae	18757	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Nynantheae;Actinodendridae;Actinodendron
anthozoa	ON149890.1	Actinoscyphia sp. l JL-2024	Actinoscyphiidae	17459	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actinoscyphiidae;Actinoscyphia
anthozoa	BK071241.1	Actinoscyphia sp. m1220	Actinoscyphiidae	17459	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Actinoscyphiidae;Actinoscyphia
anthozoa	NC_027611.1	Antholoba achates	Actinostolidae	17816	15	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Nynantheae;Actinostolidae;Antholoba
anthozoa	BK068680.1	Stomphia didemon	Actinostolidae	18755	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Nynantheae;Actinostolidae;Stomphia
anthozoa	NC_008160.1	Agaricia humilis	Agariciidae	18735	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Agariciidae;Agaricia
anthozoa	LC792539.1	Leptoseris papyracea	Agariciidae	18345	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Agariciidae;Leptoseris
anthozoa	NC_008165.1	Pavona clavus	Agariciidae	18315	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Agariciidae;Pavona
anthozoa	NC_026527.1	Pavona decussata	Agariciidae	18378	13	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Agariciidae;Pavona
anthozoa	PV815621.1	Pseudomadrepora carolina	Agariciidae	18066	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Scleractinia;Refertina;Agariciidae;Pseudomadrepora
anthozoa	NC_056771.1	Exaiptasia diaphana	Aiptasiidae	19790	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Aiptasiidae;Exaiptasia
anthozoa	BK069894.1	Ragactis hyalina	Aiptasiidae	18128	13	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Aiptasiidae;Ragactis
anthozoa	NC_061273.1	Alcyonium acaule	Alcyoniidae	18726	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Alcyonium
anthozoa	NC_061274.1	Alcyonium digitatum	Alcyoniidae	19133	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Alcyonium
anthozoa	NC_061993.1	Alcyonium haddoni	Alcyoniidae	18752	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Alcyonium
anthozoa	MW166875.1	Alcyonium sp. AP-2020	Alcyoniidae	18674	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Alcyonium
anthozoa	NC_061994.1	Alertigorgia orientalis	Alcyoniidae	18700	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Alertigorgia
anthozoa	OL616208.1	Anthomastinae sp. n. ANT85	Alcyoniidae	19045	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae
anthozoa	NC_061997.1	Anthothela grandiflora	Alcyoniidae	18694	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Anthothela
anthozoa	NC_071215.1	Eleutherobia rubra	Alcyoniidae	18724	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Eleutherobia
anthozoa	NC_061277.1	Erythropodium caribaeorum	Alcyoniidae	19424	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Erythropodium
anthozoa	PX070533.1	Lateothela grandiflora	Alcyoniidae	18726	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lateothela
anthozoa	LC831272.1	Lobophytum sp. Sf15	Alcyoniidae	18753	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831275.1	Lobophytum sp. Sf18	Alcyoniidae	18560	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831276.1	Lobophytum sp. Sf19	Alcyoniidae	18559	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831261.1	Lobophytum sp. Sf2	Alcyoniidae	18753	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831285.1	Lobophytum sp. Sf31	Alcyoniidae	18560	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831296.1	Lobophytum sp. Sf43	Alcyoniidae	18559	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831301.1	Lobophytum sp. Sf49	Alcyoniidae	18753	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831304.1	Lobophytum sp. Sf52	Alcyoniidae	18558	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831310.1	Lobophytum sp. Sf62	Alcyoniidae	18506	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831312.1	Lobophytum sp. Sf64	Alcyoniidae	18558	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831321.1	Lobophytum sp. Sf73	Alcyoniidae	18560	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831266.1	Lobophytum sp. Sf8	Alcyoniidae	18753	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831332.1	Lobophytum sp. Sf86	Alcyoniidae	18560	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831333.1	Lobophytum sp. Sf87	Alcyoniidae	18559	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831336.1	Lobophytum sp. Sf90	Alcyoniidae	18559	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831340.1	Lobophytum sp. Sf94	Alcyoniidae	18753	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	LC831341.1	Lobophytum sp. Sf95	Alcyoniidae	18605	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Lobophytum
anthozoa	NC_062025.1	Protodendron repens	Alcyoniidae	18853	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Protodendron
anthozoa	NC_081603.1	Sarcophyton minusculum	Alcyoniidae	18511	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831260.1	Sarcophyton sp. Sf1	Alcyoniidae	18454	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831271.1	Sarcophyton sp. Sf14	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831273.1	Sarcophyton sp. Sf16	Alcyoniidae	18454	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831274.1	Sarcophyton sp. Sf17	Alcyoniidae	18454	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831280.1	Sarcophyton sp. Sf25	Alcyoniidae	18453	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831283.1	Sarcophyton sp. Sf29	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831286.1	Sarcophyton sp. Sf32	Alcyoniidae	18455	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831289.1	Sarcophyton sp. Sf35	Alcyoniidae	18455	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831293.1	Sarcophyton sp. Sf39	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831294.1	Sarcophyton sp. Sf40	Alcyoniidae	18453	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831299.1	Sarcophyton sp. Sf47	Alcyoniidae	18453	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831264.1	Sarcophyton sp. Sf5	Alcyoniidae	18454	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831305.1	Sarcophyton sp. Sf54	Alcyoniidae	18456	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831308.1	Sarcophyton sp. Sf59	Alcyoniidae	18454	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831311.1	Sarcophyton sp. Sf63	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831315.1	Sarcophyton sp. Sf67	Alcyoniidae	18547	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831317.1	Sarcophyton sp. Sf69	Alcyoniidae	18453	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831319.1	Sarcophyton sp. Sf71	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831328.1	Sarcophyton sp. Sf80	Alcyoniidae	19109	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831267.1	Sarcophyton sp. Sf9	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831338.1	Sarcophyton sp. Sf92	Alcyoniidae	18506	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	LC831302.1	Sarcophyton sp. sf50	Alcyoniidae	18508	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	NC_061281.1	Sarcophyton trocheliophorum	Alcyoniidae	18508	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Sarcophyton
anthozoa	OL616279.1	Solenocaulon sp. ANT68	Alcyoniidae	18822	14	2	genbank	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Solenocaulon
anthozoa	NC_062033.1	Thrombophyton coronatum	Alcyoniidae	18717	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Malacalcyonacea;Alcyoniidae;Thrombophyton
anthozoa	NC_027610.1	Alicia sansibarensis	Aliciidae	19575	14	2	refseq	Eukaryota;Metazoa;Cnidaria;Anthozoa;Hexacorallia;Actiniaria;Nynantheae;Aliciidae;Alicia
