accession	type	gene	product	parts
NC_038065.1	CDS		hypothetical protein	7607-8672:1
NC_038065.1	CDS		hypothetical protein	9199-9868:1
NC_038065.1	CDS	ND2	NADH dehydrogenase subunit 2	10015-10744:1
NC_038065.1	CDS	CYTB	cytochrome b	10862-11918:1
NC_038065.1	CDS	ND1	NADH dehydrogenase subunit 1	11836-12751:1
NC_038065.1	CDS	COX2	cytochrome c oxidase subunit II	12756-13320:1
NC_045305.1	rRNA		12S ribosomal RNA	202-566:1
NC_045305.1	rRNA		16S ribosomal RNA	566-1439:1
NC_045305.1	CDS		hypothetical protein	1221-1512:1
NC_045305.1	CDS	COX3	cytochrome c oxidase subunit III	1512-2256:1
NC_045305.1	CDS	ND4	NADH dehydrogenase subunit 4	2555-3638:1
NC_045305.1	CDS	ND4L	NADH dehydrogenase subunit 4L	3637-3826:1
NC_045305.1	CDS	ND5	NADH dehydrogenase subunit 5	3822-5196:1
NC_045305.1	CDS	ND2	NADH dehydrogenase subunit 2	5373-6096:1
NC_045305.1	CDS	CYTB	cytochrome b	6241-7297:1
NC_045305.1	CDS	ND1	NADH dehydrogenase subunit 1	7296-8136:1
NC_045305.1	CDS	COX2	cytochrome c oxidase subunit II	8164-8728:1
NC_045305.1	CDS	COX1	cytochrome c oxidase subunit I	8750-10274:1
NC_045864.1	CDS	COX1	cytochrome c oxidase subunit I	0-1539:1
NC_045864.1	CDS	URF1	hypothetical protein	1543-1681:1
NC_045864.1	CDS	COX2	cytochrome c oxidase subunit II	1683-2241:1
NC_045864.1	CDS	URF2	hypothetical protein	2299-3637:1
NC_045864.1	CDS	URF3	hypothetical protein	3684-3828:1
NC_045864.1	rRNA	rnl	large subunit ribosomal RNA	4066-4999:1
NC_045864.1	rRNA	rns	small subunit ribosomal RNA	5059-5646:1
NC_045864.1	CDS	COX3	cytochrome c oxidase subunit III	5672-6413:1
NC_045864.1	CDS	ND2	NADH dehydrogenase subunit 2	6424-7141:1
NC_045864.1	CDS	ND3	NADH dehydrogenase subunit 3	7141-7450:1
NC_045864.1	CDS	ND4	NADH dehydrogenase subunit 4	7451-8534:1
NC_045864.1	CDS	CYTB	cytochrome b	8540-9644:1
NC_045864.1	CDS	ND5	NADH dehydrogenase subunit 5	9650-11159:1
NC_045864.1	CDS	ND1	NADH dehydrogenase subunit 1	11161-11998:1
NC_045864.1	CDS	ND6	NADH dehydrogenase subunit 6	11997-12195:1
NC_045864.1	CDS	ND4L	NADH dehydrogenase subunit 4L	12196-12529:1
PP327218.1	CDS	COX1	cytochrome c oxidase subunit I	40-1624:1
PP327218.1	CDS	COX2	cytochrome c oxidase subunit II	1623-2199:1
PP327218.1	CDS	ND4	NADH dehydrogenase subunit 4	2198-3299:1
PP327218.1	CDS	ND6	NADH dehydrogenase subunit 6	3927-4134:1
PP327218.1	rRNA	rnl	large subunit ribosomal RNA	4134-5075:1
PP327218.1	rRNA	rns	small subunit ribosomal RNA	5076-5401:1
PP327218.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5679-5913:1
PP327218.1	CDS	ND1	NADH dehydrogenase subunit 1	5913-6792:1
PP327218.1	CDS	CYTB	cytochrome b	6796-7864:1
PP327218.1	CDS	COX3	cytochrome c oxidase subunit III	7865-8624:1
PP327218.1	CDS	ND3	NADH dehydrogenase subunit 3	8736-9072:1
PP327218.1	CDS	ND5	NADH dehydrogenase subunit 5	9099-10629:1
PP327218.1	CDS	ND2	NADH dehydrogenase subunit 2	10629-11373:1
PP329435.1	CDS	cox1	cytochrome c oxidase subunit 1	0-1539:1
PP329435.1	rRNA	rrn16	16S ribosomal RNA	2234-3251:1
PP329435.1	rRNA	rrn12	12S ribosomal RNA	3312-3884:1
PP329435.1	tRNA	trnM(cat)	tRNA-Met	4574-4656:1
PP329435.1	CDS	cox3	cytochrome c oxidase subunit 3	4663-5404:1
PP329435.1	CDS	nad2	NADH dehydrogenase subunit 2	5414-6128:1
PP329435.1	CDS	nad3	NADH dehydrogenase subunit 3	6147-6456:1
PP329435.1	CDS	nad4	NADH dehydrogenase subunit 4	6461-7544:1
PP329435.1	CDS	cob	cytochrome b	7584-8628:1
PP329435.1	CDS	nad5	NADH dehydrogenase subunit 5	8657-10145:1
PP329435.1	CDS	nad1	NADH dehydrogenase subunit 1	10144-10984:1
PP329435.1	CDS	nad4l	NADH dehydrogenase subunit 4L	14094-14298:1
PP329435.1	CDS	cox2	cytochrome c oxidase subunit 2	14680-15235:1
PP329435.1	CDS	nad6	NADH dehydrogenase subunit 6	15872-16073:1
PP331237.1	CDS	COX1	cytochrome c oxidase subunit I	39-1623:1
PP331237.1	CDS	COX2	cytochrome c oxidase subunit II	1622-2198:1
PP331237.1	CDS	ND4	NADH dehydrogenase subunit 4	2197-3298:1
PP331237.1	CDS	ND6	NADH dehydrogenase subunit 6	3506-3713:1
PP331237.1	rRNA	rnl	large subunit ribosomal RNA	3713-4658:1
PP331237.1	rRNA	rns	small subunit ribosomal RNA	4659-4982:1
PP331237.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5263-5497:1
PP331237.1	CDS	ND1	NADH dehydrogenase subunit 1	5499-6378:1
PP331237.1	CDS	CYTB	cytochrome b	6382-7450:1
PP331237.1	CDS	COX3	cytochrome c oxidase subunit III	7451-8210:1
PP331237.1	CDS	ND3	NADH dehydrogenase subunit 3	8320-8656:1
PP331237.1	CDS	ND5	NADH dehydrogenase subunit 5	8675-10205:1
PP331237.1	CDS	ND2	NADH dehydrogenase subunit 2	10205-10949:1
PQ559638.1	CDS	COX1	cytochrome c oxidase subunit I	0-1533:1
PQ559638.1	CDS	COX2	cytochrome c oxidase subunit II	1564-2080:1
PQ559638.1	CDS	ND4	NADH dehydrogenase subunit 4	2097-3126:1
PQ559638.1	rRNA	rnl	large subunit ribosomal RNA	3126-3967:1
PQ559638.1	rRNA	rns	small subunit ribosomal RNA	3967-4286:1
PQ559638.1	CDS	ND2	NADH dehydrogenase subunit 2	4304-5006:1
PQ559638.1	CDS	CYTB	cytochrome b	5005-6043:1
PQ559638.1	CDS	COX3	cytochrome c oxidase subunit III	6065-6797:1
PQ559638.1	CDS	ND3	NADH dehydrogenase subunit 3	6806-7139:1
PQ559638.1	CDS	ND5	NADH dehydrogenase subunit 5	7143-8589:1
PQ559638.1	CDS	ND4L	NADH dehydrogenase subunit 4L	8600-8816:1
PQ559638.1	CDS	ND1	NADH dehydrogenase subunit 1	8815-9682:1
PQ559638.1	CDS	ND6	NADH dehydrogenase subunit 6	9775-9973:1
PQ559639.1	CDS	COX1	cytochrome c oxidase subunit I	0-1533:1
PQ559639.1	CDS	COX2	cytochrome c oxidase subunit II	1564-2080:1
PQ559639.1	CDS	ND4	NADH dehydrogenase subunit 4	2097-3126:1
PQ559639.1	rRNA	rnl	large subunit ribosomal RNA	3126-3967:1
PQ559639.1	rRNA	rns	small subunit ribosomal RNA	3967-4286:1
PQ559639.1	CDS	ND2	NADH dehydrogenase subunit 2	4304-5006:1
PQ559639.1	CDS	CYTB	cytochrome b	5005-6043:1
PQ559639.1	CDS	COX3	cytochrome c oxidase subunit III	6065-6797:1
PQ559639.1	CDS	ND3	NADH dehydrogenase subunit 3	6806-7139:1
PQ559639.1	CDS	ND5	NADH dehydrogenase subunit 5	7143-8589:1
PQ559639.1	CDS	ND4L	NADH dehydrogenase subunit 4L	8600-8816:1
PQ559639.1	CDS	ND1	NADH dehydrogenase subunit 1	8815-9682:1
PQ559639.1	CDS	ND6	NADH dehydrogenase subunit 6	9775-9973:1
PQ559643.1	CDS	COX1	cytochrome c oxidase subunit I	0-1593:1
PQ559643.1	CDS	COX2	cytochrome c oxidase subunit II	1592-2162:1
PQ559643.1	CDS	ND4	NADH dehydrogenase subunit 4	2168-3293:1
PQ559643.1	CDS	ND2	NADH dehydrogenase subunit 2	3323-4082:1
PQ559643.1	rRNA	rnl	large subunit ribosomal RNA	4085-4952:1
PQ559643.1	rRNA	rns	small subunit ribosomal RNA	4962-5339:1
PQ559643.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5350-5581:1
PQ559643.1	CDS	ND1	NADH dehydrogenase subunit 1	5581-6478:1
PQ559643.1	CDS	ND3	NADH dehydrogenase subunit 3	6519-6873:1
PQ559643.1	CDS	CYTB	cytochrome b	6872-7940:1
PQ559643.1	CDS	COX3	cytochrome c oxidase subunit III	7942-8701:1
PQ559643.1	CDS	ND5	NADH dehydrogenase subunit 5	8709-10230:1
PQ559643.1	CDS	ND6	NADH dehydrogenase subunit 6	10673-10895:1
PX606260.1	CDS	COX1	cytochrome c oxidase subunit I	7-1537:1
PX606260.1	rRNA	rns	small subunit ribosomal RNA	1580-2049:1
PX606260.1	rRNA	rnl	large subunit ribosomal RNA	2051-2853:1
PX606260.1	CDS	ND6	NADH dehydrogenase subunit 6	2859-3087:1
PX606260.1	CDS	COX3	cytochrome c oxidase subunit III	3118-3862:1
PX606260.1	CDS	ND3	NADH dehydrogenase subunit 3	3864-4158:1
PX606260.1	CDS	ND4	NADH dehydrogenase subunit 4	4159-5242:1
PX606260.1	CDS	ND4L	NADH dehydrogenase subunit 4L	5242-5431:1
PX606260.1	CDS	ND5	NADH dehydrogenase subunit 5	5445-6921:1
PX606260.1	CDS	ND2	NADH dehydrogenase subunit 2	6923-7643:1
PX606260.1	CDS	CYTB	cytochrome b	7762-8818:1
PX606260.1	CDS	ND1	NADH dehydrogenase subunit 1	8820-9651:1
PX606260.1	CDS	COX2	cytochrome c oxidase subunit II	9703-10267:1
PX922688.1	CDS	COX1	cytochrome c oxidase subunit I	0-1533:1
PX922688.1	CDS	COX2	cytochrome c oxidase subunit II	1522-2080:1
PX922688.1	CDS	ND4	NADH dehydrogenase subunit 4	2073-3126:1
PX922688.1	rRNA	rnl	large subunit ribosomal RNA	3125-3952:1
PX922688.1	rRNA	rns	small subunit ribosomal RNA	3952-4308:1
PX922688.1	CDS	ND2	NADH dehydrogenase subunit 2	4308-5013:1
PX922688.1	CDS	CYTB	cytochrome b	5012-6050:1
PX922688.1	CDS	COX3	cytochrome c oxidase subunit III	6033-6801:1
PX922688.1	CDS	ND3	NADH dehydrogenase subunit 3	6797-7121:1
PX922688.1	CDS	ND5	NADH dehydrogenase subunit 5	7125-8571:1
PX922688.1	CDS	ND4L	NADH dehydrogenase subunit 4L	8578-8794:1
PX922688.1	CDS	ND1	NADH dehydrogenase subunit 1	8793-9657:1
PX922688.1	CDS	ND6	NADH dehydrogenase subunit 6	9752-9950:1
PX922695.1	CDS	COX1	cytochrome c oxidase subunit I	0-1533:1
PX922695.1	CDS	COX2	cytochrome c oxidase subunit II	1522-2080:1
PX922695.1	CDS	ND4	NADH dehydrogenase subunit 4	2073-3126:1
PX922695.1	rRNA	rnl	large subunit ribosomal RNA	3125-3952:1
PX922695.1	rRNA	rns	small subunit ribosomal RNA	3952-4308:1
PX922695.1	CDS	ND2	NADH dehydrogenase subunit 2	4308-5013:1
PX922695.1	CDS	CYTB	cytochrome b	5012-6050:1
PX922695.1	CDS	COX3	cytochrome c oxidase subunit III	6033-6801:1
PX922695.1	CDS	ND3	NADH dehydrogenase subunit 3	6797-7121:1
PX922695.1	CDS	ND5	NADH dehydrogenase subunit 5	7125-8571:1
PX922695.1	CDS	ND4L	NADH dehydrogenase subunit 4L	8578-8794:1
PX922695.1	CDS	ND1	NADH dehydrogenase subunit 1	8793-9657:1
PX922695.1	CDS	ND6	NADH dehydrogenase subunit 6	9752-9950:1
PZ506865.1	CDS	COX1	cytochrome c oxidase subunit I	84-1665:1
PZ506865.1	CDS	ND6	NADH dehydrogenase subunit 6	2352-2568:1
PZ506865.1	rRNA	rnl	large subunit ribosomal RNA	2793-3835:1
PZ506865.1	rRNA	rns	small subunit ribosomal RNA	3840-4341:1
PZ506865.1	CDS	ND4L	NADH dehydrogenase subunit 4L	4347-4710:1
PZ506865.1	CDS	ND4	NADH dehydrogenase subunit 4	4727-5777:1
PZ506865.1	CDS	COX2	cytochrome c oxidase subunit II	6411-7002:1
PZ506865.1	CDS	COX3	cytochrome c oxidase subunit III	7003-7759:1
PZ506865.1	CDS	CYTB	cytochrome b	7762-8638:1
PZ506865.1	CDS	ND5	NADH dehydrogenase subunit 5	8638-10138:1
PZ506865.1	CDS	ND1	NADH dehydrogenase subunit 1	10465-11380:1
PZ506865.1	CDS	ND2	NADH dehydrogenase subunit 2	11379-12084:1
PZ506865.1	CDS	ND3	NADH dehydrogenase subunit 3	12501-12672:1
