group	accession	organism	family	length_bp	n_cds	n_rrna	source
mollusca	NC_039120.1	Aeneator elegans	Buccinidae	15254	13	2	refseq
mollusca	NC_039122.1	Aeneator recens	Buccinidae	15264	13	2	refseq
mollusca	NC_039117.1	Antarctoneptunea aurora	Buccinidae	15227	13	2	refseq
mollusca	NC_039119.1	Antarctoneptunea benthicola	Buccinidae	15229	13	2	refseq
mollusca	NC_023080.1	Babylonia areolata	Buccinidae	15445	13	2	refseq
mollusca	NC_028628.1	Babylonia lutosa	Buccinidae	15346	13	2	refseq
mollusca	NC_039121.1	Buccinulum fuscozonatum	Buccinidae	15246	13	2	refseq
mollusca	NC_039124.1	Buccinulum pertinax finlayi	Buccinidae	15247	13	2	refseq
mollusca	NC_029373.1	Buccinum pemphigus	Buccinidae	15265	13	2	refseq
mollusca	NC_063974.1	Buccinum tsubai	Buccinidae	15262	13	2	refseq
mollusca	NC_040940.1	Buccinum undatum	Buccinidae	15265	13	2	refseq
mollusca	NC_039125.1	Cominella adspersa	Buccinidae	15251	13	2	refseq
mollusca	NC_039123.1	Kelletia lischkei	Buccinidae	15225	13	2	refseq
mollusca	NC_062790.1	Neptunea cumingii	Buccinidae	15254	13	2	refseq
mollusca	NC_039116.1	Penion chathamensis	Buccinidae	15227	13	2	refseq
mollusca	NC_039118.1	Penion cuvierianus	Buccinidae	15235	13	2	refseq
mollusca	NC_037237.1	Penion maximus	Buccinidae	15249	13	2	refseq
mollusca	NC_039126.1	Penion ormesi	Buccinidae	15234	13	2	refseq
mollusca	NC_067974.1	Volutharpa ampullacea	Buccinidae	16177	13	2	refseq
mollusca	NC_028183.1	Volutharpa perryi	Buccinidae	15255	13	2	refseq
mollusca	NC_054277.1	Bufonaria rana	Bursidae	15510	13	2	refseq
mollusca	NC_059878.1	Bursa rhodostoma	Bursidae	15393	13	2	refseq
mollusca	NC_059877.1	Tutufa rubeta	Bursidae	15397	13	2	refseq
mollusca	NC_068865.1	Tristichotrochus unicus	Calliostomatidae	16353	13	2	refseq
mollusca	NC_079658.1	Desmaulus extinctorium	Calyptraeidae	16608	13	2	refseq
mollusca	NC_029419.1	Aegista aubryana	Camaenidae	14238	13	2	refseq
mollusca	NC_027584.1	Aegista diversifamilia	Camaenidae	14039	13	2	refseq
mollusca	NC_025511.1	Camaena cicatricosa	Camaenidae	13843	13	2	refseq
mollusca	NC_071158.1	Cochlostyla marinduquensis	Camaenidae	14806	13	2	refseq
mollusca	NC_027493.1	Dolicheulota formosensis	Camaenidae	14237	13	2	refseq
mollusca	NC_070212.1	Laeocathaica amdoana	Camaenidae	14660	13	2	refseq
mollusca	NC_024935.1	Mastigeulota kiangsinensis	Camaenidae	14029	13	2	refseq
mollusca	NC_086491.1	Satsuma myomphala	Camaenidae	14686	13	2	refseq
mollusca	NC_013241.1	Bivetiella cancellata	Cancellariidae	16648	13	2	refseq
mollusca	NC_084349.1	Capulus dilatatus	Capulidae	15640	13	2	refseq
mollusca	NC_008452.1	Acanthocardia tuberculata	Cardiidae	16104	12	2	refseq
mollusca	NC_035728.1	Cerastoderma edule	Cardiidae	14947	13	2	refseq
mollusca	NC_022194.1	Fulvia mutica	Cardiidae	19110	13	2	refseq
mollusca	NC_068823.1	Hippopus porcellanus	Cardiidae	29434	13	2	refseq
mollusca	NC_057530.1	Tridacna crocea	Cardiidae	18266	13	2	refseq
mollusca	NC_039945.1	Tridacna derasa	Cardiidae	20760	13	2	refseq
mollusca	NC_050683.1	Tridacna gigas	Cardiidae	19558	13	2	refseq
mollusca	NC_026558.1	Tridacna squamosa	Cardiidae	20930	12	2	refseq
mollusca	NC_082308.1	Cardita variegata	Carditidae	16896	13	2	refseq
mollusca	NC_028003.1	Galeodea echinophora	Cassidae	15388	13	2	refseq
mollusca	NC_063566.1	Cerion coloni	Cerionidae	15185	13	2	refseq
mollusca	NC_025645.1	Cerion incanum	Cerionidae	15177	13	2	refseq
mollusca	NC_034226.1	Cerion uva	Cerionidae	15043	13	2	refseq
mollusca	NC_063567.1	Cerion watlingense	Cerionidae	15179	13	2	refseq
mollusca	NC_013846.1	Chaetoderma nitidulum	Chaetodermatidae	21008	14	2	refseq
mollusca	NC_037876.1	Falcidens acutargatus	Chaetodermatidae	14209	13	2	refseq
mollusca	NC_037877.1	Falcidens halanychi	Chaetodermatidae	14508	13	2	refseq
mollusca	NC_040118.1	Chiroteuthis picteti	Chiroteuthidae	20851	18	2	refseq
mollusca	NC_068064.1	Acanthopleura loochooana	Chitonidae	15366	13	2	refseq
mollusca	NC_082877.1	Acanthopleura vaillantii	Chitonidae	15271	13	2	refseq
mollusca	NC_047425.1	Chiton albolineatus	Chitonidae	14936	13	2	refseq
mollusca	NC_072326.1	Liolophura japonica	Chitonidae	15209	13	2	refseq
mollusca	NC_024174.1	Sypharochiton pelliserpentis	Chitonidae	15048	13	2	refseq
mollusca	NC_024173.1	Sypharochiton sinclairi	Chitonidae	15028	13	2	refseq
mollusca	NC_063124.1	Cadlina japonica	Chromodorididae	14982	13	2	refseq
mollusca	NC_063125.1	Cadlina koreana	Chromodorididae	14707	13	2	refseq
mollusca	NC_063126.1	Cadlina umiushi	Chromodorididae	14731	13	2	refseq
mollusca	NC_036426.1	Chromodoris annae	Chromodorididae	14260	13	2	refseq
mollusca	NC_083963.1	Chromodoris colemani	Chromodorididae	14257	13	2	refseq
mollusca	NC_083151.1	Chromodoris elisabethina	Chromodorididae	14252	13	2	refseq
mollusca	NC_082038.1	Chromodoris lochi	Chromodorididae	14248	13	2	refseq
mollusca	NC_015096.1	Chromodoris magnifica	Chromodorididae	14446	12	2	refseq
mollusca	NC_041196.1	Chromodoris orientalis	Chromodorididae	14266	13	2	refseq
mollusca	NC_030004.1	Chromodoris quadricolor	Chromodorididae	14259	13	2	refseq
mollusca	NC_057611.1	Doriprismatica atromarginata	Chromodorididae	14421	13	2	refseq
mollusca	NC_065091.1	Glossodoris acosti	Chromodorididae	14411	13	2	refseq
mollusca	NC_065090.1	Goniobranchus leopardus	Chromodorididae	14478	13	2	refseq
mollusca	NC_036425.1	Hypselodoris apolegma	Chromodorididae	14749	13	2	refseq
mollusca	NC_030774.1	Hypselodoris festiva	Chromodorididae	14880	13	2	refseq
mollusca	NC_084209.1	Hypselodoris whitei	Chromodorididae	14856	13	2	refseq
mollusca	NC_068822.1	Verconia nivalis	Chromodorididae	14595	13	2	refseq
mollusca	NC_044784.1	Ryssota otaheitana	Chronidae	13888	13	2	refseq
mollusca	NC_069987.1	Cirroteuthis muelleri	Cirroteuthidae	15988	13	2	refseq
mollusca	NC_069986.1	Cirrothauma murrayi	Cirroteuthidae	15957	13	2	refseq
mollusca	NC_069988.1	Inopinoteuthis magna	Cirroteuthidae	15943	13	2	refseq
mollusca	NC_001761.1	Albinaria caerulea	Clausiliidae	14130	13	2	refseq
mollusca	NC_056972.1	Euphaedusa planostriata	Clausiliidae	15041	13	2	refseq
mollusca	NC_034300.1	Bryopa lata	Clavagellidae	31969	13	2	refseq
mollusca	NC_067594.1	Cocculina enigmadonta	Cocculinidae	18645	13	2	refseq
mollusca	NC_028004.1	Obscurella hidalgoi	Cochlostomatidae	15536	13	2	refseq
mollusca	NC_066081.1	Mitrella albuginosa	Columbellidae	16244	13	2	refseq
mollusca	NC_038182.1	Bathytoma punicea	Conidae	16037	13	2	refseq
mollusca	NC_032377.1	Californiconus californicus	Conidae	15444	13	2	refseq
mollusca	NC_039922.1	Conus betulinus	Conidae	16240	13	2	refseq
mollusca	NC_013243.1	Conus borgesi	Conidae	15536	13	2	refseq
mollusca	NC_023460.1	Conus consors	Conidae	16112	13	2	refseq
mollusca	NC_063769.1	Conus ebraeus	Conidae	18031	13	2	refseq
mollusca	NC_030213.1	Conus gloriamaris	Conidae	15774	13	2	refseq
mollusca	NC_080963.1	Conus imperialis	Conidae	15505	13	2	refseq
mollusca	NC_080962.1	Conus litteratus	Conidae	15569	13	2	refseq
mollusca	NC_080964.1	Conus marmoreus	Conidae	15579	13	2	refseq
mollusca	NC_063770.1	Conus miles	Conidae	16243	13	2	refseq
mollusca	NC_035007.1	Conus quercinus	Conidae	16430	13	2	refseq
mollusca	NC_030536.1	Conus striatus	Conidae	15738	13	2	refseq
mollusca	NC_079625.1	Conus tessulatus	Conidae	16244	13	2	refseq
mollusca	NC_008797.1	Conus textile	Conidae	15562	13	2	refseq
mollusca	NC_027957.1	Conus tribblei	Conidae	15570	13	2	refseq
mollusca	NC_027518.2	Conus tulipa	Conidae	15756	13	2	refseq
mollusca	NC_080961.1	Conus virgo	Conidae	15594	13	2	refseq
mollusca	NC_077576.1	Coryphella verrucosa	Coryphellidae	14658	13	2	refseq
mollusca	NC_082330.1	Bathothauma lyromma	Cranchiidae	20224	18	2	refseq
mollusca	NC_082327.1	Galiteuthis armata	Cranchiidae	20180	18	2	refseq
mollusca	NC_082326.1	Liocranchia reinhardtii	Cranchiidae	20113	18	2	refseq
mollusca	NC_082325.1	Teuthowenia megalops	Cranchiidae	20241	18	2	refseq
mollusca	NC_064733.1	Cuspidaria undata	Cuspidariidae	16266	13	2	refseq
mollusca	NC_072235.1	Erronea caurica	Cypraeidae	15857	13	2	refseq
mollusca	NC_066082.1	Erronea errones	Cypraeidae	15422	13	2	refseq
mollusca	NC_072234.1	Erronea onyx	Cypraeidae	15789	13	2	refseq
mollusca	NC_072226.1	Lyncina vitellus	Cypraeidae	16269	13	2	refseq
mollusca	NC_072227.1	Mauritia arabica	Cypraeidae	15855	13	2	refseq
mollusca	NC_072232.1	Monetaria caputserpentis	Cypraeidae	15818	13	2	refseq
mollusca	NC_072229.1	Monetaria moneta	Cypraeidae	16214	13	2	refseq
mollusca	NC_072231.1	Naria erosa	Cypraeidae	16020	13	2	refseq
mollusca	NC_072230.1	Naria helvola	Cypraeidae	15648	13	2	refseq
mollusca	NC_072233.1	Naria miliaris	Cypraeidae	16123	13	2	refseq
mollusca	NC_072228.1	Purpuradusta gracilis	Cypraeidae	16240	13	2	refseq
mollusca	NC_046410.1	Corbicula fluminea	Cyrenidae	17423	13	2	refseq
mollusca	NC_060659.1	Corbicula japonica	Cyrenidae	17432	13	2	refseq
mollusca	NC_061685.1	Corbicula sandai	Cyrenidae	16758	13	2	refseq
mollusca	NC_050989.1	Villorita cyprinoides	Cyrenidae	15880	13	2	refseq
mollusca	NC_084457.1	Dendrodoris krusensternii	Dendrodorididae	14361	13	2	refseq
mollusca	NC_077625.1	Dendronotus frondosus	Dendronotidae	15450	13	2	refseq
mollusca	NC_026987.1	Melibe leonina	Dendronotidae	14513	13	2	refseq
mollusca	NC_006162.1	Graptacme eborea	Dentaliidae	14492	13	2	refseq
mollusca	NC_068820.1	Carminodoris armata	Discodorididae	14425	13	2	refseq
mollusca	NC_035984.1	Donax semistriatus	Donacidae	17044	13	2	refseq
mollusca	NC_035985.1	Donax trunculus	Donacidae	17365	13	2	refseq
mollusca	NC_035986.1	Donax variegatus	Donacidae	17195	13	2	refseq
mollusca	NC_035987.1	Donax vittatus	Donacidae	17070	13	2	refseq
mollusca	NC_063123.1	Aldisa cooperi	Dorididae	14517	13	2	refseq
mollusca	NC_068821.1	Doris odhneri	Dorididae	14445	13	2	refseq
mollusca	NC_034006.1	Homoiodoris japonica	Dorididae	14601	13	2	refseq
mollusca	NC_077633.1	Doto coronata	Dotidae	14496	13	2	refseq
mollusca	NC_057514.1	Dreissena rostriformis	Dreissenidae	46868	23	2	refseq
mollusca	NC_038184.1	Splendrillia sp. 1 MNHN IM 2013-9619	Drilliidae	15358	13	2	refseq
mollusca	NC_069997.1	Eledone cirrhosa	Eledonidae	16135	13	2	refseq
mollusca	NC_036959.1	Auriculastra duplicata	Ellobiidae	13920	13	2	refseq
mollusca	NC_034292.1	Ellobium chinense	Ellobiidae	13979	13	2	refseq
mollusca	NC_016168.1	Leucophytia bidentata	Ellobiidae	14135	13	2	refseq
mollusca	NC_086654.1	Melampus sincaporensis	Ellobiidae	14962	13	2	refseq
mollusca	NC_012434.1	Myosotella myosotis	Ellobiidae	14246	13	2	refseq
mollusca	NC_016175.1	Ovatella vulcani	Ellobiidae	14274	13	2	refseq
mollusca	NC_016179.1	Pedipes pedipes	Ellobiidae	16708	13	2	refseq
mollusca	NC_065731.1	Discus perspectivus	Endodontidae	14250	13	2	refseq
mollusca	NC_082331.1	Abraliopsis morisii	Enoploteuthidae	20122	18	2	refseq
mollusca	NC_007893.1	Watasenia scintillans	Enoploteuthidae	20093	18	2	refseq
mollusca	NC_034301.1	Euciroa cf. queenslandica STW-2017	Euciroidae	15042	13	2	refseq
mollusca	NC_080250.1	Facelina bostoniensis	Facelinidae	14550	13	2	refseq
mollusca	NC_045906.1	Fusinus longicaudus	Fasciolariidae	16319	13	2	refseq
mollusca	NC_037185.1	Peristernia sulcata	Fasciolariidae	15227	13	2	refseq
mollusca	NC_056153.1	Ficus variegata (in: gastropods)	Ficidae	15736	13	2	refseq
mollusca	NC_016953.1	Fissurella volcano	Fissurellidae	17575	13	2	refseq
mollusca	NC_048494.1	Hermissenda emurai	Glaucidae	13880	13	2	refseq
mollusca	NC_033968.1	Sakuraeolis japonica	Glaucidae	15059	13	2	refseq
mollusca	NC_088460.1	Glauconome virens	Glauconomidae	18473	13	2	refseq
mollusca	NC_072330.1	Gonatopsis borealis	Gonatidae	20148	18	2	refseq
mollusca	NC_056185.1	Ceratodoris hiroi	Goniodorididae	14583	13	2	refseq
mollusca	NC_077596.1	Haliotis asinina	Haliotidae	16399	13	2	refseq
mollusca	NC_031362.1	Haliotis discus hannai x Haliotis iris	Haliotidae	16719	13	2	refseq
mollusca	NC_088488.1	Haliotis fulgens	Haliotidae	17041	13	2	refseq
mollusca	NC_031361.1	Haliotis iris	Haliotidae	17131	13	2	refseq
mollusca	NC_024562.1	Haliotis laevigata	Haliotidae	16545	13	2	refseq
mollusca	NC_056350.1	Haliotis ovina	Haliotidae	16531	13	2	refseq
mollusca	NC_005940.1	Haliotis rubra	Haliotidae	16907	13	2	refseq
mollusca	NC_036928.1	Haliotis rufescens	Haliotidae	16646	13	2	refseq
mollusca	NC_013708.1	Haliotis tuberculata tuberculata	Haliotidae	16521	13	2	refseq
mollusca	NC_042169.1	Bullacta caurina	Haminoeidae	13872	13	2	refseq
mollusca	NC_053883.1	Haloa japonica	Haminoeidae	13797	13	2	refseq
mollusca	NC_017872.1	Cylindrus obtusus	Helicidae	14610	13	2	refseq
mollusca	NC_041247.1	Helix pomatia	Helicidae	14072	13	2	refseq
mollusca	NC_060988.1	Micrarionta opuntia	Helminthoglyptidae	13971	13	2	refseq
mollusca	NC_033538.1	Panopea abrupta	Hiatellidae	15381	13	2	refseq
mollusca	NC_025635.1	Panopea generosa	Hiatellidae	15585	13	2	refseq
mollusca	NC_025636.1	Panopea globosa	Hiatellidae	15469	13	2	refseq
mollusca	NC_072278.1	Panopea japonica	Hiatellidae	16128	13	2	refseq
mollusca	NC_069187.1	Histioteuthis bonnellii	Histioteuthidae	19355	15	2	refseq
mollusca	NC_069186.1	Histioteuthis reversa	Histioteuthidae	19556	17	2	refseq
mollusca	NC_072058.1	Monacha cartusiana	Hygromiidae	13894	13	2	refseq
mollusca	NC_034845.1	Echyridella menziesii	Hyriidae	16031	14	2	refseq
mollusca	NC_046935.1	Lepidozona coreanica	Ischnochitonidae	16572	13	2	refseq
mollusca	NC_022846.1	Cryolaternula elliptica	Laternulidae	14622	13	2	refseq
mollusca	NC_034305.1	Laternula truncata	Laternulidae	16363	13	2	refseq
mollusca	NC_047423.1	Hanleyella oldroydi	Lepidopleuridae	15692	13	2	refseq
mollusca	NC_047422.1	Leptochiton nexus	Lepidopleuridae	15488	13	2	refseq
mollusca	NC_072954.1	Ambigolimax valentianus	Limacidae	15195	13	2	refseq
mollusca	NC_020343.1	Placida sp. 1 NY-2013	Limapontiidae	14751	13	2	refseq
mollusca	NC_083122.1	Lima vulgaris	Limidae	19014	12	2	refseq
mollusca	NC_066085.1	Littoraria ardouiniana	Littorinidae	16261	13	2	refseq
mollusca	NC_064397.1	Littoraria intermedia	Littorinidae	16194	13	2	refseq
mollusca	NC_064398.1	Littoraria melanostoma	Littorinidae	16149	13	2	refseq
mollusca	NC_050987.1	Littorina brevicula	Littorinidae	16356	13	2	refseq
mollusca	NC_030595.1	Littorina saxatilis	Littorinidae	16887	13	2	refseq
mollusca	NC_012840.1	Doryteuthis opalescens	Loliginidae	17387	13	2	refseq
mollusca	NC_002507.1	Heterololigo bleekeri	Loliginidae	17211	13	2	refseq
mollusca	NC_026724.1	Loligo uyii	Loliginidae	17134	12	2	refseq
mollusca	NC_028034.1	Loliolus beka	Loliginidae	17483	13	2	refseq
mollusca	NC_030208.1	Loliolus japonica	Loliginidae	17232	13	2	refseq
mollusca	NC_007894.1	Sepioteuthis lessoniana	Loliginidae	16631	13	2	refseq
mollusca	NC_028189.1	Uroteuthis chinensis	Loliginidae	17353	13	2	refseq
mollusca	NC_027729.1	Uroteuthis duvaucelii	Loliginidae	17413	13	2	refseq
mollusca	NC_017746.1	Uroteuthis edulis	Loliginidae	17360	13	2	refseq
mollusca	NC_007782.1	Lottia digitalis	Lottiidae	26835	13	2	refseq
mollusca	NC_065373.1	Lottia goshimai	Lottiidae	19096	13	2	refseq
mollusca	NC_058306.1	Nipponacmea fuscoviridis	Lottiidae	18720	13	2	refseq
mollusca	NC_082058.1	Nipponacmea moskalevi	Lottiidae	22163	14	2	refseq
mollusca	NC_072117.1	Patelloida saccharinoides	Lottiidae	19048	13	2	refseq
mollusca	NC_013271.1	Loripes lacteus	Lucinidae	17321	13	2	refseq
mollusca	NC_013275.1	Lucinella divaricata	Lucinidae	18940	13	2	refseq
mollusca	NC_071184.1	Pillucina pisidium (Dunker, 1860)	Lucinidae	21059	13	2	refseq
mollusca	NC_069990.1	Luteuthis dentatus	Luteuthidae	16302	13	2	refseq
mollusca	NC_054237.1	Ampullaceana lagotis	Lymnaeidae	13751	13	2	refseq
mollusca	NC_086642.1	Austropeplea brazieri	Lymnaeidae	13757	13	2	refseq
mollusca	NC_018536.1	Galba pervia	Lymnaeidae	13768	13	2	refseq
mollusca	NC_042905.1	Pseudosuccinea columella	Lymnaeidae	13757	13	2	refseq
mollusca	NC_026538.1	Radix auricularia	Lymnaeidae	13745	13	2	refseq
mollusca	NC_034302.1	Lyonsia norwegica	Lyonsiidae	14673	13	2	refseq
mollusca	NC_036766.1	Lutraria maxima	Mactridae	17082	13	2	refseq
mollusca	NC_023384.1	Lutraria rhynchaena	Mactridae	16927	12	2	refseq
mollusca	NC_082278.1	Mactra alta	Mactridae	17006	13	2	refseq
mollusca	NC_021375.1	Mactra antiquata	Mactridae	17199	12	2	refseq
mollusca	NC_025510.1	Mactra chinensis	Mactridae	17285	12	2	refseq
mollusca	NC_082279.1	Mactra cumingii	Mactridae	16527	13	2	refseq
mollusca	NC_058202.1	Mactra quadrangularis	Mactridae	16848	12	2	refseq
mollusca	NC_034846.1	Cumberlandia monodonta	Margaritiferidae	16099	14	2	refseq
mollusca	NC_037942.1	Gibbosula crassa	Margaritiferidae	16196	14	2	refseq
mollusca	NC_079689.1	Gibbosula laosensis	Margaritiferidae	16116	13	2	refseq
mollusca	NC_023942.1	Margaritifera dahurica	Margaritiferidae	16112	14	2	refseq
mollusca	NC_015476.1	Margaritifera falcata	Margaritiferidae	16121	14	2	refseq
mollusca	NC_079690.1	Margaritifera hembeli	Margaritiferidae	16123	13	2	refseq
mollusca	NC_079691.1	Margaritifera laevis	Margaritiferidae	16174	13	2	refseq
mollusca	NC_043836.1	Margaritifera margaritifera	Margaritiferidae	16122	13	2	refseq
mollusca	NC_079693.1	Margaritifera marrianae	Margaritiferidae	16149	13	2	refseq
mollusca	NC_079692.1	Margaritifera middendorffi	Margaritiferidae	16159	13	2	refseq
mollusca	NC_079694.1	Pseudunio homsensis	Margaritiferidae	16205	13	2	refseq
mollusca	NC_034911.1	Pseudunio marocanus	Margaritiferidae	16001	13	2	refseq
mollusca	NC_082328.1	Mastigoteuthis agassizii	Mastigoteuthidae	20271	18	2	refseq
mollusca	NC_059758.1	Brunneifusus ternatanus	Melongenidae	16254	13	2	refseq
mollusca	NC_059704.1	Bathymodiolus aduloides	Modiolidae	17243	13	2	refseq
mollusca	NC_059705.1	Bathymodiolus azoricus	Modiolidae	17598	13	2	refseq
mollusca	NC_059706.1	Bathymodiolus brooksi	Modiolidae	17728	13	2	refseq
mollusca	NC_059708.1	Bathymodiolus marisindicus	Modiolidae	17138	13	2	refseq
mollusca	NC_068738.1	Bathymodiolus puteoserpentis	Modiolidae	20482	13	2	refseq
mollusca	NC_039552.1	Bathymodiolus securiformis	Modiolidae	17199	13	2	refseq
mollusca	NC_059707.1	Gigantidas childressi	Modiolidae	17637	13	2	refseq
mollusca	NC_059709.1	Gigantidas haimaensis	Modiolidae	18283	13	2	refseq
mollusca	NC_035421.1	Gigantidas platifrons	Modiolidae	17435	12	2	refseq
mollusca	NC_068739.1	Gigantidas vrijenhoeki	Modiolidae	17786	13	2	refseq
mollusca	NC_028706.1	Limnoperna fortunei	Modiolidae	18145	12	2	refseq
mollusca	NC_036486.1	Modiolus kurilensis	Modiolidae	16210	12	2	refseq
mollusca	NC_033537.1	Modiolus modiolus	Modiolidae	15816	13	2	refseq
mollusca	NC_067876.1	Modiolus modulaides	Modiolidae	15422	12	2	refseq
mollusca	NC_044130.1	Modiolus nipponicus	Modiolidae	15638	12	2	refseq
mollusca	NC_035422.1	Modiolus philippinarum	Modiolidae	16389	12	2	refseq
mollusca	NC_061566.1	Vignadula atrata	Modiolidae	14806	12	2	refseq
mollusca	NC_068740.1	Xenostrobus securis	Modiolidae	14972	13	2	refseq
mollusca	NC_026850.1	Cryptochiton stelleri	Mopaliidae	15082	13	2	refseq
mollusca	NC_047424.1	Dendrochiton gothicus	Mopaliidae	15288	13	2	refseq
mollusca	NC_001636.1	Katharina tunicata	Mopaliidae	15532	13	2	refseq
mollusca	NC_068065.1	Mopalia retifera	Mopaliidae	14984	13	2	refseq
mollusca	NC_085812.1	Plaxiphora tricolor	Mopaliidae	14909	13	2	refseq
mollusca	NC_063933.1	Arakawania granulata	Muricidae	15387	13	2	refseq
mollusca	NC_063934.1	Arakawania musiva	Muricidae	15218	13	2	refseq
mollusca	NC_013250.1	Bolinus brandaris	Muricidae	15380	13	2	refseq
mollusca	NC_046505.1	Boreotrophon candelabrum	Muricidae	15265	13	2	refseq
mollusca	NC_046569.1	Ceratostoma burnetti	Muricidae	15334	13	2	refseq
mollusca	NC_063923.1	Ceratostoma fournieri	Muricidae	15573	13	2	refseq
mollusca	NC_046526.1	Ceratostoma rorifluum	Muricidae	15338	13	2	refseq
mollusca	NC_039164.1	Chicoreus torrefactus	Muricidae	15359	13	2	refseq
mollusca	NC_017886.1	Concholepas concholepas	Muricidae	15495	13	2	refseq
mollusca	NC_069050.1	Coralliophila richardi	Muricidae	15553	13	2	refseq
mollusca	NC_063937.1	Drupa morum	Muricidae	15895	13	2	refseq
mollusca	NC_063932.1	Drupella margariticola	Muricidae	15410	13	2	refseq
mollusca	NC_061029.1	Drupella rugosa	Muricidae	16343	13	2	refseq
mollusca	NC_063941.1	Drupina grossularia	Muricidae	16188	13	2	refseq
mollusca	NC_063940.1	Indothais javanica	Muricidae	15219	13	2	refseq
mollusca	NC_037221.1	Indothais lacera	Muricidae	15272	13	2	refseq
